dataset,generator,variant,verifier_variant,method,vehicles,distance,feasible,violations,runtime,typed_feedback,action_rules,route_elimination_called,bks_vehicles,bks_distance,vehicle_gap,distance_gap_pct,distance_gap_comparable,bks_source
R111,nearest_neighbor,typed_action_rules,typed_action_rules,nearest_neighbor+typed_action_rules,13,1343.574821,True,0,7.941606,True,True,True,10,1096.73,3,22.507346,False,SINTEF VRPTW 100 customers
R111,nearest_neighbor,typed_diagnostics_only,typed_diagnostics_only,nearest_neighbor+typed_diagnostics_only,16,1435.745710,True,0,10.813820,True,False,False,10,1096.73,6,30.911501,False,SINTEF VRPTW 100 customers
R112,nearest_neighbor,binary_feasibility_only,binary_feasibility_only,nearest_neighbor+binary_feasibility_only,13,1267.782521,True,0,6.402130,False,False,False,9,982.14,4,29.083687,False,SINTEF VRPTW 100 customers
R112,nearest_neighbor,typed_action_rules,typed_action_rules,nearest_neighbor+typed_action_rules,12,1196.990368,True,0,4.734464,True,True,True,9,982.14,3,21.875737,False,SINTEF VRPTW 100 customers
R112,nearest_neighbor,typed_diagnostics_only,typed_diagnostics_only,nearest_neighbor+typed_diagnostics_only,13,1267.782521,True,0,6.387596,True,False,False,9,982.14,4,29.083687,False,SINTEF VRPTW 100 customers
R201,nearest_neighbor,binary_feasibility_only,binary_feasibility_only,nearest_neighbor+binary_feasibility_only,6,1689.429766,True,0,9.602048,False,False,False,4,1252.37,2,34.898614,False,SINTEF VRPTW 100 customers
R201,nearest_neighbor,typed_action_rules,typed_action_rules,nearest_neighbor+typed_action_rules,5,1611.790288,True,0,6.414759,True,True,True,4,1252.37,1,28.699209,False,SINTEF VRPTW 100 customers
R201,nearest_neighbor,typed_diagnostics_only,typed_diagnostics_only,nearest_neighbor+typed_diagnostics_only,6,1689.429766,True,0,9.563115,True,False,False,4,1252.37,2,34.898614,False,SINTEF VRPTW 100 customers
R202,nearest_neighbor,binary_feasibility_only,binary_feasibility_only,nearest_neighbor+binary_feasibility_only,7,1363.384441,True,0,12.357819,False,False,False,3,1191.70,4,14.406683,False,SINTEF VRPTW 100 customers
R202,nearest_neighbor,typed_action_rules,typed_action_rules,nearest_neighbor+typed_action_rules,4,1303.974642,True,0,6.238141,True,True,True,3,1191.70,1,9.421385,False,SINTEF VRPTW 100 customers
R202,nearest_neighbor,typed_diagnostics_only,typed_diagnostics_only,nearest_neighbor+typed_diagnostics_only,7,1363.384441,True,0,12.341694,True,False,False,3,1191.70,4,14.406683,False,SINTEF VRPTW 100 customers
