dataset,method,base_vehicles,base_distance,vehicles,distance,feasible,violations,runtime,bks_vehicles,bks_distance,vehicle_gap,distance_gap_pct,distance_gap_comparable,bks_source
R103,nearest_neighbor+basic_alns,15,1710.652113,14,1290.778650,True,0,15.584376,13,1292.68,1,-0.147086,False,SINTEF VRPTW 100 customers
R103,regret_insertion+basic_alns,18,2403.748214,14,1434.381011,True,0,20.459583,13,1292.68,1,10.961801,False,SINTEF VRPTW 100 customers
R104,greedy_insertion+basic_alns,11,1290.625574,10,1154.160223,True,0,21.082302,9,1007.31,1,14.578454,False,SINTEF VRPTW 100 customers
R104,nearest_neighbor+basic_alns,11,1275.168753,11,1104.909902,True,0,15.554996,9,1007.31,2,9.689162,False,SINTEF VRPTW 100 customers
R104,regret_insertion+basic_alns,18,3027.142229,10,1119.784919,True,0,19.962841,9,1007.31,1,11.165869,False,SINTEF VRPTW 100 customers
R105,greedy_insertion+basic_alns,16,1792.180047,15,1452.912977,True,0,20.812098,14,1377.11,1,5.504497,False,SINTEF VRPTW 100 customers
R105,nearest_neighbor+basic_alns,17,1790.403992,16,1488.491101,True,0,15.516968,14,1377.11,2,8.088032,False,SINTEF VRPTW 100 customers
R105,regret_insertion+basic_alns,20,2535.169469,16,1519.022157,True,0,20.160086,14,1377.11,2,10.305071,False,SINTEF VRPTW 100 customers
R106,greedy_insertion+basic_alns,14,1606.168011,13,1390.623507,True,0,20.987129,12,1252.03,1,11.069504,False,SINTEF VRPTW 100 customers
R106,nearest_neighbor+basic_alns,16,1838.461963,14,1412.323392,True,0,15.540848,12,1252.03,2,12.802680,False,SINTEF VRPTW 100 customers
R106,regret_insertion+basic_alns,18,2740.879371,14,1465.697736,True,0,20.149143,12,1252.03,2,17.065704,False,SINTEF VRPTW 100 customers
R107,greedy_insertion+basic_alns,13,1498.228361,11,1192.276702,True,0,21.099582,10,1104.66,1,7.931554,False,SINTEF VRPTW 100 customers
R107,nearest_neighbor+basic_alns,13,1511.640465,11,1186.495036,True,0,15.453205,10,1104.66,1,7.408165,False,SINTEF VRPTW 100 customers
R107,regret_insertion+basic_alns,18,2985.433557,12,1223.037736,True,0,20.096543,10,1104.66,2,10.716215,False,SINTEF VRPTW 100 customers
R108,greedy_insertion+basic_alns,11,1284.331579,10,1084.363653,True,0,21.615728,9,960.88,1,12.851100,False,SINTEF VRPTW 100 customers
R108,nearest_neighbor+basic_alns,11,1348.405534,10,1143.745307,True,0,15.744598,9,960.88,1,19.031024,False,SINTEF VRPTW 100 customers
R108,regret_insertion+basic_alns,18,3047.293824,10,1070.530065,True,0,19.912034,9,960.88,1,11.411421,False,SINTEF VRPTW 100 customers
R109,greedy_insertion+basic_alns,14,1637.297674,13,1335.140490,True,0,21.064236,11,1194.73,2,11.752487,False,SINTEF VRPTW 100 customers
R109,nearest_neighbor+basic_alns,14,1527.309145,13,1360.678717,True,0,15.390908,11,1194.73,2,13.890060,False,SINTEF VRPTW 100 customers
R109,regret_insertion+basic_alns,20,2970.240423,14,1340.612093,True,0,20.166931,11,1194.73,3,12.210465,False,SINTEF VRPTW 100 customers
R110,greedy_insertion+basic_alns,13,1494.187489,12,1225.979998,True,0,21.360559,10,1118.84,2,9.575989,False,SINTEF VRPTW 100 customers
R110,nearest_neighbor+basic_alns,14,1507.643422,13,1263.253921,True,0,15.540921,10,1118.84,3,12.907469,False,SINTEF VRPTW 100 customers
R110,regret_insertion+basic_alns,19,2966.240273,13,1235.561545,True,0,20.126369,10,1118.84,3,10.432371,False,SINTEF VRPTW 100 customers
R111,greedy_insertion+basic_alns,13,1427.798623,11,1244.011673,True,0,21.643462,10,1096.73,1,13.429164,False,SINTEF VRPTW 100 customers
R111,nearest_neighbor+basic_alns,13,1425.517968,11,1148.066492,True,0,15.386320,10,1096.73,1,4.680869,False,SINTEF VRPTW 100 customers
R111,regret_insertion+basic_alns,20,3274.429510,12,1138.054729,True,0,19.960369,10,1096.73,2,3.767995,False,SINTEF VRPTW 100 customers
R112,greedy_insertion+basic_alns,12,1428.443885,11,1090.163402,True,0,21.431166,9,982.14,2,10.998778,False,SINTEF VRPTW 100 customers
R112,nearest_neighbor+basic_alns,12,1254.320588,11,1095.149460,True,0,15.605233,9,982.14,2,11.506451,False,SINTEF VRPTW 100 customers
R112,regret_insertion+basic_alns,19,3143.356093,10,1091.221019,True,0,19.776711,9,982.14,1,11.106463,False,SINTEF VRPTW 100 customers
R201,greedy_insertion+basic_alns,4,1626.496773,4,1437.453922,True,0,26.865325,4,1252.37,0,14.778693,True,SINTEF VRPTW 100 customers
R201,nearest_neighbor+basic_alns,5,1843.897482,5,1415.280953,True,0,15.723903,4,1252.37,1,13.008213,False,SINTEF VRPTW 100 customers
R201,regret_insertion+basic_alns,6,2926.125190,4,1500.032857,True,0,23.967003,4,1252.37,0,19.775534,True,SINTEF VRPTW 100 customers
R202,greedy_insertion+basic_alns,4,1607.225656,4,1300.201569,True,0,27.679837,3,1191.70,1,9.104772,False,SINTEF VRPTW 100 customers
R202,nearest_neighbor+basic_alns,4,1483.149282,4,1166.003671,True,0,15.567476,3,1191.70,1,-2.156275,False,SINTEF VRPTW 100 customers
R202,regret_insertion+basic_alns,5,2522.049833,4,1228.604297,True,0,24.343936,3,1191.70,1,3.096777,False,SINTEF VRPTW 100 customers
R203,greedy_insertion+basic_alns,3,1499.050937,3,1209.975642,True,0,28.588743,3,939.50,0,28.789318,True,SINTEF VRPTW 100 customers
R203,nearest_neighbor+basic_alns,3,1637.573869,3,1199.982470,True,0,15.414592,3,939.50,0,27.725649,True,SINTEF VRPTW 100 customers
R203,regret_insertion+basic_alns,4,2284.297189,3,1210.113384,True,0,24.262638,3,939.50,0,28.803979,True,SINTEF VRPTW 100 customers
R204,greedy_insertion+basic_alns,3,1352.183948,3,932.271960,True,0,30.112832,2,825.52,1,12.931481,False,SINTEF VRPTW 100 customers
R204,nearest_neighbor+basic_alns,3,1178.593328,3,873.301793,True,0,15.921679,2,825.52,1,5.788084,False,SINTEF VRPTW 100 customers
R204,regret_insertion+basic_alns,3,1603.849382,3,1015.563313,True,0,25.742406,2,825.52,1,23.021043,False,SINTEF VRPTW 100 customers
R205,greedy_insertion+basic_alns,3,1374.135819,3,1239.504976,True,0,27.545679,3,994.43,0,24.644769,True,SINTEF VRPTW 100 customers
R205,nearest_neighbor+basic_alns,4,1535.343400,3,1201.043223,True,0,15.333361,3,994.43,0,20.777050,True,SINTEF VRPTW 100 customers
R205,regret_insertion+basic_alns,5,2708.774554,3,1253.327581,True,0,24.128904,3,994.43,0,26.034772,True,SINTEF VRPTW 100 customers
R206,greedy_insertion+basic_alns,3,1413.989145,3,1054.178448,True,0,28.515031,3,906.14,0,16.337260,True,SINTEF VRPTW 100 customers
R206,nearest_neighbor+basic_alns,3,1354.140506,3,1130.647318,True,0,15.386498,3,906.14,0,24.776229,True,SINTEF VRPTW 100 customers
R206,regret_insertion+basic_alns,4,2251.393682,3,1170.785900,True,0,24.757479,3,906.14,0,29.205851,True,SINTEF VRPTW 100 customers
R207,greedy_insertion+basic_alns,3,1292.631274,3,963.277667,True,0,29.885577,2,890.61,1,8.159314,False,SINTEF VRPTW 100 customers
R207,nearest_neighbor+basic_alns,3,1346.417314,3,1007.857833,True,0,15.560645,2,890.61,1,13.164891,False,SINTEF VRPTW 100 customers
R207,regret_insertion+basic_alns,3,1839.811200,3,978.716263,True,0,25.130175,2,890.61,1,9.892800,False,SINTEF VRPTW 100 customers
R208,greedy_insertion+basic_alns,3,1108.453356,3,794.135388,True,0,31.197185,2,726.82,1,9.261631,False,SINTEF VRPTW 100 customers
R208,nearest_neighbor+basic_alns,3,1134.442514,3,844.911555,True,0,17.089675,2,726.82,1,16.247703,False,SINTEF VRPTW 100 customers
R208,regret_insertion+basic_alns,3,1623.173282,3,982.345754,True,0,25.862438,2,726.82,1,35.156676,False,SINTEF VRPTW 100 customers
R209,greedy_insertion+basic_alns,3,1384.763681,3,1072.693215,True,0,28.432494,3,909.16,0,17.987287,True,SINTEF VRPTW 100 customers
R209,nearest_neighbor+basic_alns,4,1383.490095,3,1109.780341,True,0,15.370244,3,909.16,0,22.066560,True,SINTEF VRPTW 100 customers
R209,regret_insertion+basic_alns,4,2222.574052,3,1108.313897,True,0,24.405611,3,909.16,0,21.905264,True,SINTEF VRPTW 100 customers
R210,greedy_insertion+basic_alns,3,1421.496143,3,1152.353239,True,0,28.656827,3,939.37,0,22.672987,True,SINTEF VRPTW 100 customers
R210,nearest_neighbor+basic_alns,4,1172.056722,3,1207.252312,True,0,17.065876,3,939.37,0,28.517231,True,SINTEF VRPTW 100 customers
R210,regret_insertion+basic_alns,4,2802.242540,3,1166.053025,True,0,23.768244,3,939.37,0,24.131389,True,SINTEF VRPTW 100 customers
R211,greedy_insertion+basic_alns,3,1292.848628,3,915.262545,True,0,28.624194,2,885.71,1,3.336594,False,SINTEF VRPTW 100 customers
R211,nearest_neighbor+basic_alns,3,1149.371152,3,874.394291,True,0,15.855827,2,885.71,1,-1.277586,False,SINTEF VRPTW 100 customers
R211,regret_insertion+basic_alns,4,2096.946362,3,994.491511,True,0,25.392374,2,885.71,1,12.281843,False,SINTEF VRPTW 100 customers
RC101,greedy_insertion+basic_alns,18,2332.412676,16,1854.520347,True,0,20.446158,14,1696.95,2,9.285503,False,SINTEF VRPTW 100 customers
RC101,nearest_neighbor+basic_alns,18,2172.812473,16,1781.497852,True,0,15.398962,14,1696.95,2,4.982342,False,SINTEF VRPTW 100 customers
RC101,regret_insertion+basic_alns,22,2868.618614,16,1734.040286,True,0,20.879230,14,1696.95,2,2.185703,False,SINTEF VRPTW 100 customers
RC102,greedy_insertion+basic_alns,17,2270.359671,16,1722.969753,True,0,20.875319,12,1554.75,4,10.819730,False,SINTEF VRPTW 100 customers
RC102,nearest_neighbor+basic_alns,16,1979.590261,15,1587.032715,True,0,15.486936,12,1554.75,3,2.076393,False,SINTEF VRPTW 100 customers
RC102,regret_insertion+basic_alns,17,2654.314879,15,1673.452365,True,0,20.674386,12,1554.75,3,7.634820,False,SINTEF VRPTW 100 customers
