dataset,generator,variant,vehicles,distance,feasible,violations,base_runtime,bks_vehicles,bks_distance,vehicle_gap,distance_gap_pct,distance_gap_comparable,bks_source
C109,greedy_insertion,fast_repair_merge,10,1126.125424,True,0,0.388216,10,828.94,0,35.851259,True,SINTEF VRPTW 100 customers
C109,greedy_insertion,fast_repair_merge_elim,10,1126.125424,True,0,0.388216,10,828.94,0,35.851259,True,SINTEF VRPTW 100 customers
C109,greedy_insertion,full_ftv,10,976.713361,True,0,0.388216,10,828.94,0,17.826786,True,SINTEF VRPTW 100 customers
C109,nearest_neighbor,fast_only,14,1788.553875,True,0,0.007062,10,828.94,4,115.763973,False,SINTEF VRPTW 100 customers
C109,nearest_neighbor,fast_repair,14,1788.553875,True,0,0.007062,10,828.94,4,115.763973,False,SINTEF VRPTW 100 customers
C109,nearest_neighbor,fast_repair_merge,13,1780.265132,True,0,0.007062,10,828.94,3,114.764052,False,SINTEF VRPTW 100 customers
C109,nearest_neighbor,fast_repair_merge_elim,11,1631.019769,True,0,0.007062,10,828.94,1,96.759689,False,SINTEF VRPTW 100 customers
C109,nearest_neighbor,full_ftv,11,1435.160207,True,0,0.007062,10,828.94,1,73.131977,False,SINTEF VRPTW 100 customers
C109,regret_insertion,fast_only,13,2951.448448,True,0,0.393036,10,828.94,3,256.050914,False,SINTEF VRPTW 100 customers
C109,regret_insertion,fast_repair,13,2951.448448,True,0,0.393036,10,828.94,3,256.050914,False,SINTEF VRPTW 100 customers
C109,regret_insertion,fast_repair_merge,13,2951.448448,True,0,0.393036,10,828.94,3,256.050914,False,SINTEF VRPTW 100 customers
C109,regret_insertion,fast_repair_merge_elim,12,2787.715719,True,0,0.393036,10,828.94,2,236.298854,False,SINTEF VRPTW 100 customers
C109,regret_insertion,full_ftv,12,1964.880695,True,0,0.393036,10,828.94,2,137.035334,False,SINTEF VRPTW 100 customers
C201,greedy_insertion,fast_only,3,705.487174,True,0,0.301206,3,591.56,0,19.258769,True,SINTEF VRPTW 100 customers
C201,greedy_insertion,fast_repair,3,705.487174,True,0,0.301206,3,591.56,0,19.258769,True,SINTEF VRPTW 100 customers
C201,greedy_insertion,fast_repair_merge,3,705.487174,True,0,0.301206,3,591.56,0,19.258769,True,SINTEF VRPTW 100 customers
C201,greedy_insertion,fast_repair_merge_elim,3,705.487174,True,0,0.301206,3,591.56,0,19.258769,True,SINTEF VRPTW 100 customers
C201,greedy_insertion,full_ftv,3,690.397914,True,0,0.301206,3,591.56,0,16.708012,True,SINTEF VRPTW 100 customers
C201,nearest_neighbor,fast_only,15,1880.468130,True,0,0.007142,3,591.56,12,217.882908,False,SINTEF VRPTW 100 customers
C201,nearest_neighbor,fast_repair,15,1880.468130,True,0,0.007142,3,591.56,12,217.882908,False,SINTEF VRPTW 100 customers
C201,nearest_neighbor,fast_repair_merge,6,1599.980184,True,0,0.007142,3,591.56,3,170.467946,False,SINTEF VRPTW 100 customers
C201,nearest_neighbor,fast_repair_merge_elim,4,1045.346585,True,0,0.007142,3,591.56,1,76.710154,False,SINTEF VRPTW 100 customers
C201,nearest_neighbor,full_ftv,4,867.666890,True,0,0.007142,3,591.56,1,46.674368,False,SINTEF VRPTW 100 customers
C201,regret_insertion,fast_only,5,1357.542361,True,0,0.302594,3,591.56,2,129.485151,False,SINTEF VRPTW 100 customers
C201,regret_insertion,fast_repair,5,1357.542361,True,0,0.302594,3,591.56,2,129.485151,False,SINTEF VRPTW 100 customers
C201,regret_insertion,fast_repair_merge,5,1357.542361,True,0,0.302594,3,591.56,2,129.485151,False,SINTEF VRPTW 100 customers
C201,regret_insertion,fast_repair_merge_elim,4,1153.049584,True,0,0.302594,3,591.56,1,94.916760,False,SINTEF VRPTW 100 customers
C201,regret_insertion,full_ftv,4,1002.210982,True,0,0.302594,3,591.56,1,69.418315,False,SINTEF VRPTW 100 customers
C202,greedy_insertion,fast_only,4,885.444957,True,0,0.389456,3,591.56,1,49.679653,False,SINTEF VRPTW 100 customers
C202,greedy_insertion,fast_repair,4,885.444957,True,0,0.389456,3,591.56,1,49.679653,False,SINTEF VRPTW 100 customers
C202,greedy_insertion,fast_repair_merge,4,885.444957,True,0,0.389456,3,591.56,1,49.679653,False,SINTEF VRPTW 100 customers
C202,greedy_insertion,fast_repair_merge_elim,3,822.055616,True,0,0.389456,3,591.56,0,38.964030,True,SINTEF VRPTW 100 customers
C202,greedy_insertion,full_ftv,3,813.839393,True,0,0.389456,3,591.56,0,37.575122,True,SINTEF VRPTW 100 customers
C202,nearest_neighbor,fast_only,14,1603.092926,True,0,0.006995,3,591.56,11,170.994139,False,SINTEF VRPTW 100 customers
C202,nearest_neighbor,fast_repair,14,1603.092926,True,0,0.006995,3,591.56,11,170.994139,False,SINTEF VRPTW 100 customers
C202,nearest_neighbor,fast_repair_merge,6,1466.141494,True,0,0.006995,3,591.56,3,147.843244,False,SINTEF VRPTW 100 customers
C202,nearest_neighbor,fast_repair_merge_elim,4,1028.833819,True,0,0.006995,3,591.56,1,73.918760,False,SINTEF VRPTW 100 customers
C202,nearest_neighbor,full_ftv,4,916.335131,True,0,0.006995,3,591.56,1,54.901469,False,SINTEF VRPTW 100 customers
C202,regret_insertion,fast_only,4,1908.120002,True,0,0.418906,3,591.56,1,222.557306,False,SINTEF VRPTW 100 customers
C202,regret_insertion,fast_repair,4,1908.120002,True,0,0.418906,3,591.56,1,222.557306,False,SINTEF VRPTW 100 customers
C202,regret_insertion,fast_repair_merge,4,1908.120002,True,0,0.418906,3,591.56,1,222.557306,False,SINTEF VRPTW 100 customers
C202,regret_insertion,fast_repair_merge_elim,4,1908.120002,True,0,0.418906,3,591.56,1,222.557306,False,SINTEF VRPTW 100 customers
C202,regret_insertion,full_ftv,4,1259.418980,True,0,0.418906,3,591.56,1,112.897928,False,SINTEF VRPTW 100 customers
C203,greedy_insertion,fast_only,4,1132.775187,True,0,0.503735,3,591.17,1,91.615811,False,SINTEF VRPTW 100 customers
C203,greedy_insertion,fast_repair,4,1132.775187,True,0,0.503735,3,591.17,1,91.615811,False,SINTEF VRPTW 100 customers
C203,greedy_insertion,fast_repair_merge,4,1132.775187,True,0,0.503735,3,591.17,1,91.615811,False,SINTEF VRPTW 100 customers
C203,greedy_insertion,fast_repair_merge_elim,4,1132.775187,True,0,0.503735,3,591.17,1,91.615811,False,SINTEF VRPTW 100 customers
C203,greedy_insertion,full_ftv,4,868.574623,True,0,0.503735,3,591.17,1,46.924679,False,SINTEF VRPTW 100 customers
C203,nearest_neighbor,fast_only,11,1583.700653,True,0,0.006346,3,591.17,8,167.892595,False,SINTEF VRPTW 100 customers
C203,nearest_neighbor,fast_repair,11,1583.700653,True,0,0.006346,3,591.17,8,167.892595,False,SINTEF VRPTW 100 customers
C203,nearest_neighbor,fast_repair_merge,5,1428.710348,True,0,0.006346,3,591.17,2,141.675042,False,SINTEF VRPTW 100 customers
C203,nearest_neighbor,fast_repair_merge_elim,4,1267.362979,True,0,0.006346,3,591.17,1,114.382154,False,SINTEF VRPTW 100 customers
C203,nearest_neighbor,full_ftv,4,1182.427083,True,0,0.006346,3,591.17,1,100.014731,False,SINTEF VRPTW 100 customers
C203,regret_insertion,fast_only,4,2082.306207,True,0,0.517925,3,591.17,1,252.234756,False,SINTEF VRPTW 100 customers
C203,regret_insertion,fast_repair,4,2082.306207,True,0,0.517925,3,591.17,1,252.234756,False,SINTEF VRPTW 100 customers
C203,regret_insertion,fast_repair_merge,4,2082.306207,True,0,0.517925,3,591.17,1,252.234756,False,SINTEF VRPTW 100 customers
C203,regret_insertion,fast_repair_merge_elim,4,2082.306207,True,0,0.517925,3,591.17,1,252.234756,False,SINTEF VRPTW 100 customers
C203,regret_insertion,full_ftv,4,1507.553370,True,0,0.517925,3,591.17,1,155.011819,False,SINTEF VRPTW 100 customers
C204,greedy_insertion,fast_only,4,1066.620161,True,0,0.707810,3,590.60,1,80.599418,False,SINTEF VRPTW 100 customers
C204,greedy_insertion,fast_repair,4,1066.620161,True,0,0.707810,3,590.60,1,80.599418,False,SINTEF VRPTW 100 customers
C204,greedy_insertion,fast_repair_merge,4,1066.620161,True,0,0.707810,3,590.60,1,80.599418,False,SINTEF VRPTW 100 customers
C204,greedy_insertion,fast_repair_merge_elim,4,1066.620161,True,0,0.707810,3,590.60,1,80.599418,False,SINTEF VRPTW 100 customers
C204,greedy_insertion,full_ftv,4,799.887518,True,0,0.707810,3,590.60,1,35.436424,False,SINTEF VRPTW 100 customers
C204,nearest_neighbor,fast_only,9,1446.731513,True,0,0.005927,3,590.60,6,144.959620,False,SINTEF VRPTW 100 customers
C204,nearest_neighbor,fast_repair,9,1446.731513,True,0,0.005927,3,590.60,6,144.959620,False,SINTEF VRPTW 100 customers
C204,nearest_neighbor,fast_repair_merge,5,1252.518717,True,0,0.005927,3,590.60,2,112.075638,False,SINTEF VRPTW 100 customers
C204,nearest_neighbor,fast_repair_merge_elim,4,1192.187947,True,0,0.005927,3,590.60,1,101.860472,False,SINTEF VRPTW 100 customers
C204,nearest_neighbor,full_ftv,4,1048.994556,True,0,0.005927,3,590.60,1,77.615062,False,SINTEF VRPTW 100 customers
C204,regret_insertion,fast_only,4,2078.689124,True,0,0.632233,3,590.60,1,251.962263,False,SINTEF VRPTW 100 customers
C204,regret_insertion,fast_repair,4,2078.689124,True,0,0.632233,3,590.60,1,251.962263,False,SINTEF VRPTW 100 customers
C204,regret_insertion,fast_repair_merge,4,2078.689124,True,0,0.632233,3,590.60,1,251.962263,False,SINTEF VRPTW 100 customers
C204,regret_insertion,fast_repair_merge_elim,4,2078.689124,True,0,0.632233,3,590.60,1,251.962263,False,SINTEF VRPTW 100 customers
C204,regret_insertion,full_ftv,4,1570.356186,True,0,0.632233,3,590.60,1,165.891667,False,SINTEF VRPTW 100 customers
C205,greedy_insertion,fast_only,4,1003.286550,True,0,0.345722,3,588.88,1,70.371986,False,SINTEF VRPTW 100 customers
C205,greedy_insertion,fast_repair,4,1003.286550,True,0,0.345722,3,588.88,1,70.371986,False,SINTEF VRPTW 100 customers
C205,greedy_insertion,fast_repair_merge,4,1003.286550,True,0,0.345722,3,588.88,1,70.371986,False,SINTEF VRPTW 100 customers
C205,greedy_insertion,fast_repair_merge_elim,4,1003.286550,True,0,0.345722,3,588.88,1,70.371986,False,SINTEF VRPTW 100 customers
C205,greedy_insertion,full_ftv,4,834.238813,True,0,0.345722,3,588.88,1,41.665333,False,SINTEF VRPTW 100 customers
C205,nearest_neighbor,fast_only,9,1485.096531,True,0,0.006968,3,588.88,6,152.190010,False,SINTEF VRPTW 100 customers
C205,nearest_neighbor,fast_repair,9,1485.096531,True,0,0.006968,3,588.88,6,152.190010,False,SINTEF VRPTW 100 customers
C205,nearest_neighbor,fast_repair_merge,6,1430.824110,True,0,0.006968,3,588.88,3,142.973799,False,SINTEF VRPTW 100 customers
C205,nearest_neighbor,fast_repair_merge_elim,4,1012.498988,True,0,0.006968,3,588.88,1,71.936386,False,SINTEF VRPTW 100 customers
C205,nearest_neighbor,full_ftv,4,846.605023,True,0,0.006968,3,588.88,1,43.765287,False,SINTEF VRPTW 100 customers
