dataset,method,initial_vehicles,initial_distance,vehicles,distance,feasible,violations,runtime,pairs,selected_seed,seed_pool,bks_vehicles,bks_distance,vehicle_gap,distance_gap_pct,distance_gap_comparable,bks_source
lr208,greedy_pair_insertion+pair_alns,3,1123.196729,3,1000.485664,True,0,36.031962,50,42,42,2,734.85,1,36.148284,False,SINTEF PDPTW 100 tasks
lr209,greedy_pair_insertion,4,1397.601968,4,1397.601968,True,0,7.698842,51,,,3,930.59,1,50.184503,False,SINTEF PDPTW 100 tasks
lr209,greedy_pair_insertion+ordinary_alns,4,1397.601968,4,1397.601968,True,0,29.853417,51,42,42,3,930.59,1,50.184503,False,SINTEF PDPTW 100 tasks
lr209,greedy_pair_insertion+pair_alns,4,1397.601968,4,1142.528361,True,0,30.454644,51,42,42,3,930.59,1,22.774623,False,SINTEF PDPTW 100 tasks
lr210,greedy_pair_insertion,4,1578.501825,4,1578.501825,True,0,5.414582,51,,,3,964.22,1,63.707642,False,SINTEF PDPTW 100 tasks
lr210,greedy_pair_insertion+ordinary_alns,4,1578.501825,4,1578.501825,True,0,26.379328,51,42,42,3,964.22,1,63.707642,False,SINTEF PDPTW 100 tasks
lr210,greedy_pair_insertion+pair_alns,4,1578.501825,4,1280.502275,True,0,27.018915,51,42,42,3,964.22,1,32.801879,False,SINTEF PDPTW 100 tasks
lr211,greedy_pair_insertion,3,1412.286683,3,1412.286683,True,0,9.254373,50,,,2,911.52,1,54.937542,False,SINTEF PDPTW 100 tasks
lr211,greedy_pair_insertion+ordinary_alns,3,1412.286683,3,1412.286683,True,0,30.948544,50,42,42,2,911.52,1,54.937542,False,SINTEF PDPTW 100 tasks
lr211,greedy_pair_insertion+pair_alns,3,1412.286683,3,1117.641513,True,0,30.742535,50,42,42,2,911.52,1,22.612945,False,SINTEF PDPTW 100 tasks
lrc101,greedy_pair_insertion,19,1988.293648,17,1902.834021,True,0,0.666252,53,,,14,1708.80,3,11.354987,False,SINTEF PDPTW 100 tasks
lrc101,greedy_pair_insertion+ordinary_alns,17,1902.834021,17,1902.081089,True,0,11.193872,53,42,42,14,1708.80,3,11.310925,False,SINTEF PDPTW 100 tasks
lrc101,greedy_pair_insertion+pair_alns,17,1902.834021,14,1708.801332,True,0,16.889734,53,42,42,14,1708.80,0,0.000078,True,SINTEF PDPTW 100 tasks
lrc102,greedy_pair_insertion,17,1919.022139,15,1757.624760,True,0,0.823211,53,,,12,1558.07,3,12.807817,False,SINTEF PDPTW 100 tasks
lrc102,greedy_pair_insertion+ordinary_alns,15,1757.624760,15,1757.624760,True,0,11.762505,53,42,42,12,1558.07,3,12.807817,False,SINTEF PDPTW 100 tasks
lrc102,greedy_pair_insertion+pair_alns,15,1757.624760,14,1646.132943,True,0,20.631784,53,42,42,12,1558.07,2,5.652053,False,SINTEF PDPTW 100 tasks
lrc103,greedy_pair_insertion,15,1641.425276,13,1539.918695,True,0,1.000191,53,,,11,1258.74,2,22.338108,False,SINTEF PDPTW 100 tasks
lrc103,greedy_pair_insertion+ordinary_alns,13,1539.918695,13,1539.918695,True,0,13.125473,53,42,42,11,1258.74,2,22.338108,False,SINTEF PDPTW 100 tasks
lrc103,greedy_pair_insertion+pair_alns,13,1539.918695,12,1347.142133,True,0,21.345581,53,42,42,11,1258.74,1,7.023065,False,SINTEF PDPTW 100 tasks
lrc104,greedy_pair_insertion,13,1470.892644,12,1407.606029,True,0,1.557678,54,,,10,1128.40,2,24.743533,False,SINTEF PDPTW 100 tasks
lrc104,greedy_pair_insertion+ordinary_alns,12,1407.606029,12,1407.606029,True,0,15.460686,54,42,42,10,1128.40,2,24.743533,False,SINTEF PDPTW 100 tasks
lrc104,greedy_pair_insertion+pair_alns,12,1407.606029,10,1224.572773,True,0,21.741470,54,42,42,10,1128.40,0,8.522933,True,SINTEF PDPTW 100 tasks
lrc105,greedy_pair_insertion,20,2240.901212,17,1990.088486,True,0,0.881148,54,,,13,1637.62,4,21.523216,False,SINTEF PDPTW 100 tasks
lrc105,greedy_pair_insertion+ordinary_alns,17,1990.088486,17,1990.088486,True,0,12.419203,54,42,42,13,1637.62,4,21.523216,False,SINTEF PDPTW 100 tasks
lrc105,greedy_pair_insertion+pair_alns,17,1990.088486,14,1716.551437,True,0,21.043969,54,42,42,13,1637.62,1,4.819887,False,SINTEF PDPTW 100 tasks
lrc106,greedy_pair_insertion,18,1990.937844,16,1876.730097,True,0,0.937281,53,,,11,1424.73,5,31.725316,False,SINTEF PDPTW 100 tasks
lrc106,greedy_pair_insertion+ordinary_alns,16,1876.730097,16,1876.730097,True,0,12.219710,53,42,42,11,1424.73,5,31.725316,False,SINTEF PDPTW 100 tasks
lrc106,greedy_pair_insertion+pair_alns,16,1876.730097,13,1541.242563,True,0,21.231843,53,42,42,11,1424.73,2,8.177870,False,SINTEF PDPTW 100 tasks
lrc107,greedy_pair_insertion,14,1719.127456,13,1652.400885,True,0,1.068685,53,,,11,1230.14,2,34.326246,False,SINTEF PDPTW 100 tasks
lrc107,greedy_pair_insertion+ordinary_alns,13,1652.400885,13,1652.400885,True,0,13.136542,53,42,42,11,1230.14,2,34.326246,False,SINTEF PDPTW 100 tasks
lrc107,greedy_pair_insertion+pair_alns,13,1652.400885,11,1313.727517,True,0,21.341450,53,42,42,11,1230.14,0,6.794960,True,SINTEF PDPTW 100 tasks
lrc108,greedy_pair_insertion,13,1424.292188,13,1424.292188,True,0,1.325433,52,,,10,1147.43,3,24.128896,False,SINTEF PDPTW 100 tasks
lrc108,greedy_pair_insertion+ordinary_alns,13,1424.292188,13,1409.629707,True,0,14.228881,52,42,42,10,1147.43,3,22.851042,False,SINTEF PDPTW 100 tasks
lrc108,greedy_pair_insertion+pair_alns,13,1424.292188,11,1285.310955,True,0,21.723960,52,42,42,10,1147.43,1,12.016503,False,SINTEF PDPTW 100 tasks
lrc201,greedy_pair_insertion,6,1785.039154,5,1741.711266,True,0,2.950339,51,,,4,1406.94,1,23.794282,False,SINTEF PDPTW 100 tasks
lrc201,greedy_pair_insertion+ordinary_alns,5,1741.711266,5,1710.232769,True,0,23.507875,51,42,42,4,1406.94,1,21.556909,False,SINTEF PDPTW 100 tasks
lrc201,greedy_pair_insertion+pair_alns,5,1741.711266,5,1577.825672,True,0,23.599134,51,42,42,4,1406.94,1,12.145910,False,SINTEF PDPTW 100 tasks
lrc202,greedy_pair_insertion,4,1818.010085,4,1818.010085,True,0,4.038399,51,,,3,1374.27,1,32.289149,False,SINTEF PDPTW 100 tasks
lrc202,greedy_pair_insertion+ordinary_alns,4,1818.010085,4,1818.010085,True,0,24.435005,51,42,42,3,1374.27,1,32.289149,False,SINTEF PDPTW 100 tasks
lrc202,greedy_pair_insertion+pair_alns,4,1818.010085,4,1530.326503,True,0,25.275127,51,42,42,3,1374.27,1,11.355593,False,SINTEF PDPTW 100 tasks
lrc203,greedy_pair_insertion,5,1794.097945,4,1611.501656,True,0,4.641700,51,,,3,1089.07,1,47.970439,False,SINTEF PDPTW 100 tasks
lrc203,greedy_pair_insertion+ordinary_alns,4,1611.501656,4,1611.501656,True,0,25.410449,51,42,42,3,1089.07,1,47.970439,False,SINTEF PDPTW 100 tasks
lrc203,greedy_pair_insertion+pair_alns,4,1611.501656,4,1580.865075,True,0,27.333832,51,42,42,3,1089.07,1,45.157343,False,SINTEF PDPTW 100 tasks
lrc204,greedy_pair_insertion,4,1189.328948,3,1194.323417,True,0,6.546289,51,,,3,818.66,0,45.887599,True,SINTEF PDPTW 100 tasks
lrc204,greedy_pair_insertion+ordinary_alns,3,1194.323417,3,1194.323417,True,0,27.344599,51,42,42,3,818.66,0,45.887599,True,SINTEF PDPTW 100 tasks
lrc204,greedy_pair_insertion+pair_alns,3,1194.323417,3,944.544458,True,0,27.619364,51,42,42,3,818.66,0,15.376891,True,SINTEF PDPTW 100 tasks
lrc205,greedy_pair_insertion,6,1737.969807,5,1557.050372,True,0,2.874235,51,,,4,1302.20,1,19.570755,False,SINTEF PDPTW 100 tasks
lrc205,greedy_pair_insertion+ordinary_alns,5,1557.050372,5,1557.050372,True,0,23.912538,51,42,42,4,1302.20,1,19.570755,False,SINTEF PDPTW 100 tasks
lrc205,greedy_pair_insertion+pair_alns,5,1557.050372,4,1726.832571,True,0,23.452612,51,42,42,4,1302.20,0,32.608860,True,SINTEF PDPTW 100 tasks
lrc206,greedy_pair_insertion,5,1863.774934,4,1768.171517,True,0,4.537589,51,,,3,1159.03,1,52.556148,False,SINTEF PDPTW 100 tasks
lrc206,greedy_pair_insertion+ordinary_alns,4,1768.171517,4,1768.171517,True,0,24.932891,51,42,42,3,1159.03,1,52.556148,False,SINTEF PDPTW 100 tasks
lrc206,greedy_pair_insertion+pair_alns,4,1768.171517,4,1649.802664,True,0,25.153272,51,42,42,3,1159.03,1,42.343396,False,SINTEF PDPTW 100 tasks
lrc207,greedy_pair_insertion,4,1681.475968,4,1681.475968,True,0,5.972196,51,,,3,1062.05,1,58.323616,False,SINTEF PDPTW 100 tasks
lrc207,greedy_pair_insertion+ordinary_alns,4,1681.475968,4,1681.475968,True,0,26.758163,51,42,42,3,1062.05,1,58.323616,False,SINTEF PDPTW 100 tasks
