dataset,generator,variant,vehicles,distance,feasible,violations,base_runtime
C208,nearest_neighbor,fast_repair_merge,5,1155.964204,True,0,0.006660
C208,nearest_neighbor,fast_repair_merge_elim,3,1018.051233,True,0,0.006660
C208,nearest_neighbor,full_ftv,3,974.179209,True,0,0.006660
C208,regret_insertion,fast_only,5,2226.949903,True,0,0.381863
C208,regret_insertion,fast_repair,5,2226.949903,True,0,0.381863
C208,regret_insertion,fast_repair_merge,5,2226.949903,True,0,0.381863
C208,regret_insertion,fast_repair_merge_elim,4,1750.999372,True,0,0.381863
C208,regret_insertion,full_ftv,4,991.217556,True,0,0.381863
R101,greedy_insertion,fast_only,23,2337.631365,True,0,0.329338
R101,greedy_insertion,fast_repair,23,2337.631365,True,0,0.329338
R101,greedy_insertion,fast_repair_merge,23,2337.631365,True,0,0.329338
R101,greedy_insertion,fast_repair_merge_elim,22,2280.853437,True,0,0.329338
R101,greedy_insertion,full_ftv,22,1917.746216,True,0,0.329338
R101,nearest_neighbor,fast_only,37,2623.244874,False,1,0.008478
R101,nearest_neighbor,fast_repair,37,2623.244874,False,1,0.008478
R101,nearest_neighbor,fast_repair_merge,28,2398.030371,False,1,0.008478
R101,nearest_neighbor,fast_repair_merge_elim,22,2057.642550,True,0,0.008478
R101,nearest_neighbor,full_ftv,22,1949.386270,True,0,0.008478
R101,regret_insertion,fast_only,25,2637.832196,True,0,0.346037
R101,regret_insertion,fast_repair,25,2637.832196,True,0,0.346037
R101,regret_insertion,fast_repair_merge,25,2637.832196,True,0,0.346037
R101,regret_insertion,fast_repair_merge_elim,24,2526.961156,True,0,0.346037
R101,regret_insertion,full_ftv,23,2145.301721,True,0,0.346037
R102,greedy_insertion,fast_only,19,2094.211757,True,0,0.332059
R102,greedy_insertion,fast_repair,19,2094.211757,True,0,0.332059
R102,greedy_insertion,fast_repair_merge,19,2094.211757,True,0,0.332059
R102,greedy_insertion,fast_repair_merge_elim,19,2094.211757,True,0,0.332059
R102,greedy_insertion,full_ftv,19,1774.137011,True,0,0.332059
R102,nearest_neighbor,fast_only,34,2442.783334,False,1,0.007837
R102,nearest_neighbor,fast_repair,34,2442.783334,False,1,0.007837
R102,nearest_neighbor,fast_repair_merge,23,2120.761696,True,0,0.007837
R102,nearest_neighbor,fast_repair_merge_elim,19,1851.454046,True,0,0.007837
R102,nearest_neighbor,full_ftv,19,1713.129531,True,0,0.007837
R102,regret_insertion,fast_only,24,2794.705956,True,0,0.360464
R102,regret_insertion,fast_repair,24,2794.705956,True,0,0.360464
R102,regret_insertion,fast_repair_merge,24,2794.705956,True,0,0.360464
