dataset,method,initial_vehicles,initial_distance,vehicles,distance,feasible,violations,runtime,bks_vehicles,bks_distance,vehicle_gap,distance_gap_pct,distance_gap_comparable,bks_source
R201,nearest_neighbor,15,1984.955876,5,1611.790288,True,0,0.029042,4,1252.37,1,28.699209,False,SINTEF VRPTW 100 customers
R201,regret_insertion,7,3324.159107,6,1794.782859,True,0,8.462800,4,1252.37,2,43.310911,False,SINTEF VRPTW 100 customers
R202,greedy_insertion,5,1930.073961,4,1481.335583,True,0,12.123439,3,1191.70,1,24.304404,False,SINTEF VRPTW 100 customers
R202,nearest_neighbor,14,1812.994209,4,1303.974642,True,0,0.022924,3,1191.70,1,9.421385,False,SINTEF VRPTW 100 customers
R202,regret_insertion,6,2800.262581,5,1668.532944,True,0,8.669310,3,1191.70,2,40.012834,False,SINTEF VRPTW 100 customers
R203,greedy_insertion,4,1598.576530,3,1330.664431,True,0,13.133941,3,939.50,0,41.635384,True,SINTEF VRPTW 100 customers
R203,nearest_neighbor,11,1532.724349,3,1333.267123,True,0,0.019744,3,939.50,0,41.912413,True,SINTEF VRPTW 100 customers
R203,regret_insertion,4,2284.297189,4,1739.367461,True,0,8.964715,3,939.50,1,85.137569,False,SINTEF VRPTW 100 customers
R204,greedy_insertion,3,1352.183948,3,1151.089000,True,0,14.253866,2,825.52,1,39.438051,False,SINTEF VRPTW 100 customers
R204,nearest_neighbor,10,1381.005651,3,1071.877661,True,0,0.016223,2,825.52,1,29.842725,False,SINTEF VRPTW 100 customers
R204,regret_insertion,3,1603.849382,3,1510.533629,True,0,10.251232,2,825.52,1,82.979653,False,SINTEF VRPTW 100 customers
R205,greedy_insertion,4,1525.157842,3,1292.181451,True,0,12.309945,3,994.43,0,29.941922,True,SINTEF VRPTW 100 customers
R205,nearest_neighbor,8,1519.367801,4,1451.156783,True,0,0.026005,3,994.43,1,45.928500,False,SINTEF VRPTW 100 customers
R205,regret_insertion,5,2708.774554,5,1747.553962,True,0,8.844833,3,994.43,2,75.734236,False,SINTEF VRPTW 100 customers
R206,greedy_insertion,4,1464.483398,3,1297.322477,True,0,13.117089,3,906.14,0,43.170203,True,SINTEF VRPTW 100 customers
R206,nearest_neighbor,8,1513.053512,3,1276.088931,True,0,0.018549,3,906.14,0,40.826907,True,SINTEF VRPTW 100 customers
R206,regret_insertion,4,2251.393682,4,1552.849660,True,0,9.413918,3,906.14,1,71.369729,False,SINTEF VRPTW 100 customers
R207,greedy_insertion,3,1292.631274,3,1086.144387,True,0,14.046348,2,890.61,1,21.955108,False,SINTEF VRPTW 100 customers
R207,nearest_neighbor,9,1429.512314,3,1233.194265,True,0,0.018126,2,890.61,1,38.466250,False,SINTEF VRPTW 100 customers
R207,regret_insertion,4,2119.195374,3,1462.080321,True,0,9.261985,2,890.61,1,64.166169,False,SINTEF VRPTW 100 customers
R208,greedy_insertion,3,1108.453356,3,870.423219,True,0,14.536975,2,726.82,1,19.757742,False,SINTEF VRPTW 100 customers
R208,nearest_neighbor,5,1104.355462,3,981.260004,True,0,0.014740,2,726.82,1,35.007293,False,SINTEF VRPTW 100 customers
R208,regret_insertion,3,1623.173282,3,1467.262697,True,0,9.982292,2,726.82,1,101.874288,False,SINTEF VRPTW 100 customers
R209,greedy_insertion,3,1384.763681,3,1191.714817,True,0,13.052460,3,909.16,0,31.078668,True,SINTEF VRPTW 100 customers
R209,nearest_neighbor,8,1467.577681,4,1299.004757,True,0,0.021685,3,909.16,1,42.879664,False,SINTEF VRPTW 100 customers
R209,regret_insertion,5,2465.686278,4,2014.261815,True,0,9.097758,3,909.16,1,121.551962,False,SINTEF VRPTW 100 customers
R210,greedy_insertion,4,1651.857089,3,1282.173185,True,0,13.245422,3,939.37,0,36.492882,True,SINTEF VRPTW 100 customers
R210,nearest_neighbor,9,1482.742503,4,1077.880109,True,0,0.020182,3,939.37,1,14.745000,False,SINTEF VRPTW 100 customers
R210,regret_insertion,4,2802.242540,4,2547.963981,True,0,8.378458,3,939.37,1,171.241788,False,SINTEF VRPTW 100 customers
R211,greedy_insertion,3,1292.848628,3,970.494538,True,0,13.029200,2,885.71,1,9.572494,False,SINTEF VRPTW 100 customers
R211,nearest_neighbor,5,1268.644772,3,1046.083378,True,0,0.021503,2,885.71,1,18.106759,False,SINTEF VRPTW 100 customers
R211,regret_insertion,4,2096.946362,4,1185.553885,True,0,9.742011,2,885.71,2,33.853506,False,SINTEF VRPTW 100 customers
RC101,greedy_insertion,18,2332.412676,18,2134.991775,True,0,5.127133,14,1696.95,4,25.813476,False,SINTEF VRPTW 100 customers
RC101,nearest_neighbor,27,2711.298077,18,2057.430411,True,0,0.029634,14,1696.95,4,21.242842,False,SINTEF VRPTW 100 customers
RC101,regret_insertion,24,3079.354092,18,2137.219960,True,0,4.919513,14,1696.95,4,25.944781,False,SINTEF VRPTW 100 customers
RC102,greedy_insertion,17,2270.359671,16,1853.735016,True,0,5.286662,12,1554.75,4,19.230424,False,SINTEF VRPTW 100 customers
RC102,nearest_neighbor,27,2647.099253,16,1884.349481,True,0,0.027211,12,1554.75,4,21.199516,False,SINTEF VRPTW 100 customers
RC102,regret_insertion,19,2821.931841,17,2343.002548,True,0,4.986496,12,1554.75,5,50.699633,False,SINTEF VRPTW 100 customers
RC103,greedy_insertion,15,2106.547173,14,1798.714112,True,0,5.540633,11,1261.67,3,42.566132,False,SINTEF VRPTW 100 customers
RC103,nearest_neighbor,23,2220.763255,14,1797.662575,True,0,0.024488,11,1261.67,3,42.482787,False,SINTEF VRPTW 100 customers
RC103,regret_insertion,19,3229.957896,16,2295.160400,True,0,4.726618,11,1261.67,5,81.914478,False,SINTEF VRPTW 100 customers
RC104,greedy_insertion,14,1801.182286,13,1553.487444,True,0,5.646116,10,1135.48,3,36.813281,False,SINTEF VRPTW 100 customers
RC104,nearest_neighbor,16,1754.612330,12,1467.671730,True,0,0.018553,10,1135.48,2,29.255621,False,SINTEF VRPTW 100 customers
RC104,regret_insertion,21,3831.500789,21,3636.373858,True,0,4.560660,10,1135.48,11,220.249926,False,SINTEF VRPTW 100 customers
RC105,greedy_insertion,20,2502.852081,18,2016.994798,True,0,5.360579,13,1629.44,5,23.784539,False,SINTEF VRPTW 100 customers
RC105,nearest_neighbor,28,2812.898997,18,2034.984890,True,0,0.028445,13,1629.44,5,24.888605,False,SINTEF VRPTW 100 customers
